track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_level
1RES1p3VXofj02iOJ65ZaA,Not Alone - REGGIO Remix,Sick Individuals,49,432U2hmbbsuVY42KUqIJ3P,Not Alone (REGGIO Remix),2020-01-08,Big Room EDM,3S03NWbWkrR1e7DPH9rf9Z,edm,big room,0.69,0.881,1,-4.552,1,0.0372,0.000287,0.105,0.322,0.294,128.016,175312,somewhat_high
6lFZbCc7pn6Lme1NP7qQqQ,You Can't Always Get What You Want,The Rolling Stones,66,4l4u9e9jSbotSXNjYfOugy,Let It Bleed,1969-12-05,Classic Rock Retrogamer,6gUFdcGzKAHyDXY9TKC6cP,rock,classic rock,0.32,0.62,0,-9.686,1,0.0594,0.64,6.36e-05,0.253,0.472,86.327,448720,somewhat_high
4F1ODe06Zg6i276BkNtkGg,Violet Stars Happy Hunting! (feat. The Skunks) - EP Version,Janelle Monáe,34,3T3bJi3cvwR5U7ihwgEwF1,Metropolis: The Chase Suite (Special Edition),2008-08-12,This Is Janelle Monáe,37i9dQZF1DWVT93EW7kPT9,pop,electropop,0.678,0.913,9,-6.018,0,0.0884,0.069,0.0,0.0732,0.777,159.923,193573,somewhat_low
03cHvWSHWQ6zRNFMes0OdZ,Always On My Mind - Nihil Young Remix,Mike Mago,40,1EWp70JCSAs31BoUY4qVsg,Always On My Mind (The Remixes),2019-02-08,Fresh EDM | Progressive House | Electro House | Trap | Deep House | Electronic | Future House/Bass,0FCHg9zJMNNiOokh3hVcxd,edm,progressive electro house,0.722,0.829,7,-5.335,0,0.11,0.0451,0.073,0.179,0.614,122.954,215250,somewhat_low
1CPylrbel65jjZ2jcAuCH0,Dig,Benjamin Hav,51,1hTutgJr19rKIosEEKlfdu,Spice up your life,2020-01-03,DK rap,37i9dQZF1DXdhDukKQ88Cc,rap,hip hop,0.865,0.624,4,-4.758,0,0.0779,0.0495,0.000151,0.0865,0.399,104.034,177098,somewhat_high
0tVv9FxhUjHrhF1DLsDUNH,Fuji Opener,Skrillex,58,6xKK037rfCf2f6gf30SpvL,Show Tracks,2019-07-19,Nasty Bits,37i9dQZF1DX2VvACCrgjrt,edm,electro house,0.662,0.941,1,-1.641,1,0.0626,0.000375,0.029,0.292,0.579,149.982,167200,somewhat_high
75Eyxd1VgJKKIqMILFQ8mL,Stay the Night Forever,オメガトライブ,17,24sd1ZTrjjabj0A54XK0RP,NEVER ENDING SUMMER,1984-12-21,City Pop 1985 シティーポップ,3j2osvmecEao5nmo9jZ5df,rock,album rock,0.51,0.517,0,-8.174,1,0.0254,0.492,0.000299,0.0963,0.205,151.536,309107,low
5xgXG5BfCNO6KJrQOHKprg,Tourniquet,Breaking Benjamin,59,2D1s85eD7MLnPd3zjfK4tr,Ember,2018-04-13,Workout Hard Rock,4TG1lzMD9HFvZ9E1Bk6Gnu,rock,hard rock,0.179,0.953,5,-2.686,1,0.202,1.5e-05,0.00109,0.363,0.337,153.955,249467,somewhat_high
0CPOpfnSiGwlyLZz2oTQGX,Kiss Me,Robert Falcon,41,0yTtrTdc6gaJdpGy0uSkDt,Kiss Me,2018-05-25,Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers,3YdAwfgQLMS4AN2WjRfRlb,latin,tropical,0.735,0.858,5,-3.593,0,0.0515,0.0253,0.0,0.148,0.386,114.04,172628,somewhat_low
0wi6K89xCYDLPy35wddqTG,Dear Friend,Sugar Blizz,5,4J4f7Gy0PuHabbLu3QOsf0,Dear Friend,2018-11-09,Tropical Vibes,37i9dQZF1DX6RA5ZrA5a23,latin,tropical,0.684,0.657,9,-7.666,0,0.0316,0.0975,0.00512,0.114,0.651,102.06,225338,low
03teNQu8rWlFnNzF1ULXIq,Starstruck,Christopher Wilde,55,3FmqQtzrqovhBNjJfqTjsx,StarStruck,2010-01-01,post teen pop,45AKTTGQEfYgAyidW5hucn,pop,post-teen pop,0.555,0.8,0,-4.835,1,0.0776,0.0353,0.0,0.0783,0.801,174.007,175027,somewhat_high
4udc6XovxThag5LUUZfbiX,Ante Up,M O P,43,4kZYTAPsFA5nOs5y6zxRHe,Cut Killer Show 2,2010-05-26,Gangsta Rap/90's Hip-Hop,39IFMVQdRNdb7kVfyTvHjM,rap,gangster rap,0.636,0.864,1,-8.125,1,0.298,0.00574,0.0,0.341,0.813,96.663,205907,somewhat_low
6sHBvzRsuGunQTfCk18KXi,Bailando por Ahi,Juan Magán,56,67hCGmMfz8cg2YLO0xZWnx,The King Of Dance,2012-05-14,Fiesta Latina Mix 🎈🎉💃🏻🕺🏻☀️🏖,2kY6lVc5EcVfI5WNKmPQQG,latin,latin pop,0.73,0.732,4,-5.167,0,0.051,0.0427,2.22e-06,0.262,0.974,129.974,180453,somewhat_high
6E9GnwBQUPcTCzfGryhhFB,Nappy Roots Day,Nappy Roots,21,23DAOhh4SfTvagiLwYUbLA,Wooden Leather (Edited Version),2003-08-21,Southern Hip Hop,4lcyWQDOzPfcbZrcBI3FOW,rap,southern hip hop,0.793,0.793,4,-6.419,1,0.269,0.072,0.0,0.109,0.642,150.686,244987,low
3GbjOImkNo5nFT2GQxVr11,Rill Rill,Sleigh Bells,56,1IWkF6zpOq73txmrYpljIT,Treats,2010-06-01,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.468,0.812,1,-3.44,0,0.0491,0.0372,1.46e-06,0.0688,0.789,72.987,229893,somewhat_high
5T4A9KTYaUtJlEUCHIK61J,HONEY,RIRI,42,5z5E66lXrdP5vE2D8tkrkV,HONEY,2018-10-31,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.562,0.748,2,-3.359,0,0.0428,0.0575,0.0,0.2,0.492,100.032,186703,somewhat_low
7mGy5pf048P89YENlFfsVy,I Was the One,Ley,37,2VZkVU1w2hXguSBiEd25EV,I Was the One,2019-10-05,Great Pops,5SO7xYih5w8X5FEpKvU7Rt,latin,latin pop,0.73,0.536,7,-4.997,0,0.0607,0.237,0.000193,0.319,0.778,80.98,195556,somewhat_low
6V4KHt9xu4TPEnDFoBeacT,Rubbin off the Paint,YBN Nahmir,71,6l4itLa2SkBAVBASZ2WKFv,YBN: The Mixtape,2018-09-07,GANGSTA RAP,3DUkl93JjPdOyX83SJr5ms,rap,gangster rap,0.734,0.751,1,-7.26,1,0.285,0.00529,0.0,0.183,0.56,161.997,159916,high
6R8YNdqZntFupGut94mauB,GoodEnough,blackwave.,49,79IpMZJb4DUGzhyz1EUpn0,GoodEnough,2018-10-12,Saxophone in Hip Hop - R&B Lounge - Jazz Rap,2ujrP2rPxu8ao7wNeG1ZOY,r&b,neo soul,0.772,0.481,5,-8.999,0,0.205,0.142,0.0,0.0922,0.603,92.984,198080,somewhat_high
0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),Ed Sheeran,84,3oIFxDIo2fwuk4lwCmFZCx,No.6 Collaborations Project,2019-07-12,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,high
2vNDq5XAoF4Gl4hfY7aacS,¿Qué Tiene?,Ximena Sariñana,54,3TF5YZurXL6aE9cbkWEbUu,¿Qué Tiene?,2018-08-10,Latin Pop Songs,5uOMV7g6vp8WxoqXfkzKaw,latin,latin pop,0.708,0.534,10,-7.623,0,0.159,0.629,0.00462,0.094,0.704,87.907,177273,somewhat_high
2NrDhKpURQ2qAOfEC6i55S,Be As You Are,Mike Posner,42,1Tz3Ai1guEFf4hV3d9i17K,"At Night, Alone.",2016-05-06,A Loose Definition of Indie Poptimism,4ZO0wp9G8FA3X6oYNBzda6,pop,indie poptimism,0.617,0.427,4,-9.451,0,0.034,0.226,1.23e-06,0.108,0.361,145.058,233587,somewhat_low
1kKLWkqyZEnrOd5tBYYCUn,Afro Blue,Robert Glasper,52,7ghmfIJeLHIMSwj8VoXnBl,Black Radio Recovered: The Remix EP,2012-01-01,NEO FUNK AND SOUL,2WbTrS5D0V2TW6DiDkJBru,r&b,neo soul,0.819,0.428,5,-9.883,0,0.317,0.128,0.00151,0.211,0.454,87.9,307440,somewhat_high
2uiAa5m82aeHbtOFA3x58m,Aftermath,Kydus,49,5ccNg9Jdl0RZJKFzqs1Q5O,Aftermath,2018-11-09,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.686,0.778,0,-10.392,1,0.0468,0.054,0.925,0.0671,0.039,124.005,247984,somewhat_high
4eXGF4fOubY0IhWieQ0OoF,Rock Of Ages,Def Leppard,43,5ab6RIlAGwbVAacV1JIr2d,Pyromania,1983-01-20,Vault: Def Leppard Greatest Hits,6BKqPGcrFMy6TczW0R5Vsz,rock,album rock,0.706,0.785,11,-7.666,0,0.041,0.00802,0.0319,0.195,0.636,105.893,247829,somewhat_low
5RCQsNJYVvCZRt5ggzkjkY,I'm So Hot - Tonic Remix,J-Trick,23,56v6ttiriPzntj5U1ZQqqC,I'm So Hot EP - The Remixes,2012-06-18,Fitness Workout Electro | House | Dance | Progressive House,6KnQDwp0syvhfHOR4lWP7x,edm,electro house,0.839,0.907,1,-2.254,1,0.0788,0.0339,5.88e-06,0.0849,0.714,128.028,250313,low
2zkhW5YaOPPaPgNWXmjTjF,Come Around,Hoodie Allen,61,17T8CV4M48fbpx0npYM3HY,Whatever USA,2019-08-16,2019 in Indie Poptimism,16RNbqnNCCLlBJti7JU5nc,pop,indie poptimism,0.726,0.727,9,-4.919,1,0.0969,0.363,0.0,0.231,0.815,77.543,166696,somewhat_high
0mAGeks6ns4FZWBPkjD9HR,La Mujer Perfecta,KURT,72,4Sj72xRJkdtcQ79INIEvvX,La Mujer Perfecta,2018-05-11,②⓪①⑨ mixed,2bOjjgN1S3Gqd8vSMyafvJ,rock,permanent wave,0.824,0.488,9,-9.112,1,0.0669,0.242,8.09e-06,0.109,0.878,155.11,217907,high
6ft9rLShV7VnIwoq5AmsEF,Time Chakda,Kambi,52,7r1mUgd2VRTO08HHUwvr1f,Time Chakda,2019-12-17,Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,rap,hip hop,0.701,0.751,8,-2.317,0,0.0589,0.488,0.0,0.38,0.684,83.948,201429,somewhat_high
336ZYcU6poBWi3s8yzRcAD,I Follow Rivers,Lykke Li,62,43uf0nTu6b5ReBCoQkLtsF,Wounded Rhymes,2011,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,r&b,hip pop,0.599,0.533,9,-14.032,0,0.0472,0.475,0.00153,0.235,0.607,122.262,228467,somewhat_high
6SN1WX0OVZP2TRMnqfggVx,HIBACHI,$ANFI,14,4BsrreTOIecyV2z0apFumw,Scattered Ideas 2,2019-02-23,Rap Party 24/7 Radio / Gangsta Rap,4sGnz2x5tbHE2YlW1nemfb,rap,gangster rap,0.845,0.575,0,-10.0,1,0.369,0.281,7.17e-06,0.118,0.683,164.989,128120,low
0FviQvrqHxxFnR2p6bVOwp,Dynamite,Scorpions,2,1yxGekVLR0AUCkbKtYLm8j,Blackout (50th Anniversary Deluxe Edition),1982-04-10,This Is Scorpions,37i9dQZF1DWViGKI2U5P2K,rock,hard rock,0.285,0.934,6,-3.461,0,0.0793,0.000141,0.00103,0.34,0.585,114.221,254627,very_low
4YMQXzscifAREG0a7KNGhB,Black Magic Woman - Single Version,Santana,65,1YrdGK2y2Edq2R5gFja2ai,Santana's Greatest Hits,1969,Hard Rock Cafe Classics,3sv5ViKoPDNnZRsklzEGMN,rock,hard rock,0.489,0.349,2,-14.295,0,0.0323,0.676,0.0789,0.0866,0.622,124.348,196467,somewhat_high
5SnOyuBtyzufoXBAKOdcxD,The Unforgiven,Metallica,15,37lWyRxkf3wQHCOlXM5WfX,Metallica,1991-08-12,Hard Rock Classics 1967-1991 (Party Edition),1NIX36ZFWEtgXSbSNghoue,rock,hard rock,0.539,0.597,7,-9.581,1,0.0258,0.0108,0.00552,0.134,0.251,139.444,387133,low
1JGaV39uhSQd2eAteOxFlF,Bleed It,Blueface,72,4eAiHYd3nih3os2BqHm0vt,Dirt Bag,2019-08-09,GANGSTA RAP,3DUkl93JjPdOyX83SJr5ms,rap,gangster rap,0.845,0.76,1,-6.008,0,0.362,0.209,0.0,0.105,0.516,101.91,145547,high
4V3VshJLUTCIWa77YiAkvM,Winter,Khalid,65,6kf46HbnYCZzP6rjvQHYzg,American Teen,2017-04-27,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,pop,indie poptimism,0.678,0.575,1,-7.086,1,0.123,0.101,9.38e-06,0.116,0.367,100.007,241867,somewhat_high
1mFB6njWi8fK9cBHPVVlQ2,Pueto Pa Dios (feat. Arias),Madiel Lara,38,2CeQHpsGKcMxzHCHiScsGQ,Pueto Pa Dios (feat. Arias),2016-07-28,LATIN FLOW MIX - Música Cristiana🎵,396llvvFOIB9jgPg0kqNDb,latin,latin hip hop,0.679,0.587,6,-8.974,0,0.0624,0.313,5.55e-05,0.0952,0.361,149.011,245290,somewhat_low
1EYzr2S8PJmqUsRMkX3cSP,I Found Out - Remastered 2010,John Lennon,45,0DFYbYCcHCEJPcN1hODG6K,Plastic Ono Band,1970-12-11,The Black Album,0KNLLunbFh9XgitPMOGmQg,rock,album rock,0.576,0.672,7,-11.526,1,0.48,0.0217,0.0451,0.127,0.507,181.116,218000,somewhat_low
2jT3L6H54Cze0Sv6AL5NRB,Buenos Amantes,Japiaguar,45,77FNuEO95H1HhjH7qxUUoK,Buenos Amantes,2019-12-06,Reggaeton 2020 ☀,7xWuNevFBmwnFEg6wzdCc7,latin,reggaeton,0.84,0.718,9,-3.527,1,0.0636,0.236,4.84e-05,0.0968,0.864,156.006,240160,somewhat_low
6Fba9RZtC6vTY814JToDtP,Jump,Van Halen,56,7ndqT6LH9o6YQ5uA7aT0St,Best of Volume 1,1996-09-24,ElectroPop 2020,4frhr6RQM2fMOm2mpvOVo6,pop,electropop,0.547,0.822,0,-7.201,1,0.0292,0.0745,0.00943,0.0645,0.774,130.138,239560,somewhat_high
5PQmSHzWnlgG4EBuIqjac2,If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,68,78Fgb88MY0ECc4GVMejqTg,It Was Written,1996-07-02,Oldschool Gangsta Rap 👑,0t9TeyXE2mWe70JT3YwSoH,rap,gangster rap,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-06,0.0519,0.523,93.908,282373,somewhat_high
0wryAFpQqHTvhteQx7ZNp2,Edredom,Vitão,70,1DGYrtJu0guCxcVcW7sinP,Edredom,2019-06-28,Brisa Pop,37i9dQZF1DX2vsux22VuNL,r&b,hip pop,0.689,0.619,7,-6.164,1,0.358,0.178,0.0,0.375,0.71,95.922,172700,high
6QPKYGnAW9QozVz2dSWqRg,Someone Like You,Adele,79,7n3QJc7TBOxXtlYh4Ssll8,21,2011-01-19,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,285240,high
7nMrNxioYZvJDHkklyO1Cn,We Hear You,Travel With The Sun,13,2N4gMxPAeHUYQL8QfcKOUG,Psycho,2019-11-01,"Muse Radio - (Uprising, Starlight, Supermassive Black Hole, Madness)",0dAbaJtkS9st5o0cBe1Zcu,rock,permanent wave,0.485,0.512,9,-7.069,1,0.034,0.00826,0.0,0.103,0.33,145.932,216917,low
4w7yrP4RAeeyhfG9nJqQvS,I Don't Fuck With You,Big Sean,5,3QZ9gSv35M8vfQA127l3vn,Dark Sky Paradise (Deluxe),2015-02-23,Gangsta Rap/90's Hip-Hop,39IFMVQdRNdb7kVfyTvHjM,rap,gangster rap,0.823,0.733,1,-5.474,1,0.0628,0.0349,0.0,0.324,0.397,97.972,284387,low
1pQQRiL4O3weDAqk85hrYN,Fight From The Inside - Remastered 2011,Queen,37,7tB40pGzj6Tg0HePj2jWZt,News Of The World (2011 Remaster),1977-10-28,The Queen - La Discografia Completa,3E88dLx4fgFYY70gdGzdnB,rock,album rock,0.577,0.848,0,-5.673,0,0.0755,0.125,0.000274,0.613,0.327,89.967,181627,somewhat_low
4mxfwvkiOj1U30Pkt0R2JH,Illusion (Radio Edit),Ragunde,18,6sP16jDfSweIQjSkJ5e06u,Illusion,2019-10-11,Sick Big Room House Drops | EZUMI,4R4c3WdN1Any2Q1NSuec3r,edm,big room,0.457,0.935,8,-6.17,1,0.202,0.00088,0.687,0.0591,0.0711,130.067,166615,low
5iQk6iWdOd8A93ps8P0lKG,Mit dem BMW,Fler,34,1L5sWELs82dWte4Os3COg3,Flersguterjunge,2010-06-11,Gangster Rap Deutsch,1qXg9ck25tBRxeXsj8mbDG,rap,gangster rap,0.622,0.675,9,-5.64,0,0.48,0.00321,0.0,0.321,0.602,127.894,217053,somewhat_low
27x2tIcwJswikH4dOgUg5x,You Dont Need Me,Granata,43,22hXN36zdHNwWmkKlv8L5e,You Dont Need Me,2016-05-21,Saxophone in Hip Hop - R&B Lounge - Jazz Rap,2ujrP2rPxu8ao7wNeG1ZOY,r&b,neo soul,0.711,0.463,8,-10.601,0,0.112,0.891,0.0,0.137,0.698,86.974,255216,somewhat_low
4CbKVDZkYKdv69I4bCaKUq,Hero,Skillet,72,0RySAmM6oDPGSE03X3dzi1,Awake,2009-08-21,Workout Hard Rock,4TG1lzMD9HFvZ9E1Bk6Gnu,rock,hard rock,0.533,0.967,1,-2.543,1,0.0995,0.00791,0.0,0.336,0.782,142.018,186813,high
29Ddz0FZ4c3ICEs1CNQ9nX,Leaving,Blinders,48,4Gfyl9nYHRsWVIii2w32aX,Leaving,2018-09-28,Electro House,6k45gxiQhfVqACfIdqONsC,edm,electro house,0.607,0.949,9,-4.725,0,0.197,0.0992,7.07e-05,0.117,0.26,127.805,171562,somewhat_high
13XHuE00ElL5thSxkaEXxK,Only God Can Judge Me,2Pac,68,4CzT5ueFBRpbILw34HQYxi,All Eyez On Me,1996-02-13,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,rap,gangster rap,0.803,0.784,11,-5.97,0,0.198,0.0012,0.000161,0.0794,0.801,90.185,296907,somewhat_high
4lDnze4JwIxRlN77meRYue,Wait A Minute,G Unit,11,0YNVnWPEkIqNevJWarbuOh,G To The Street,2017-02-10,Gangster Rap | 100 % Gangster,2e0d7otcM1oyecfi3zZPWk,rap,gangster rap,0.719,0.683,11,-5.269,0,0.315,0.0908,0.0,0.366,0.455,140.105,171572,low
1OGORI9Hx45AEYqxkndMhN,Mwaka Moon - Remix,Kalash,62,276ORc1Ggk5x9QwlsQpwuI,Mwaka Moon (Remix),2018-05-18,Los Cangri,2hTs6GuPwhmg4ApNqxWXLE,latin,latin hip hop,0.768,0.556,1,-7.146,0,0.0739,0.0942,1.42e-05,0.107,0.24,155.07,237179,somewhat_high
